# Amorphous carbon, Edoh (1983)?
# File from David Harker, UCSD
# wave(microns)  Re           Im
 0.200000      1.22000      0.321000
 0.220000      1.19000      0.570000
 0.240000      1.34000      0.740000
 0.260000      1.46000      0.740000
 0.280000      1.54000      0.730000
 0.300000      1.60000      0.720000
 0.320000      1.64375      0.706875
 0.340000      1.68235      0.695294
 0.360000      1.71111      0.685556
 0.370000      1.72162      0.681351
 0.380000      1.73158      0.677368
 0.390000      1.74103      0.673590
 0.400000      1.75000      0.670000
 0.410000      1.75878      0.670000
 0.420000      1.76714      0.670000
 0.430000      1.77512      0.670000
 0.440000      1.78273      0.670000
 0.450000      1.79000      0.670000
 0.460000      1.79652      0.672174
 0.480000      1.80875      0.676250
 0.500000      1.82000      0.680000
 0.550000      1.85273      0.696364
 0.600000      1.88000      0.710000
 0.650000      1.91231      0.742308
 0.700000      1.94000      0.770000
 0.750000      1.97200      0.786000
 0.800000      2.00000      0.800000
 0.900000      2.02000      0.850000
 1.00000      2.11000      0.900000
 1.10000      2.18091      0.927273
 1.20000      2.24000      0.950000
 1.30000      2.31538      0.960769
 1.40000      2.38000      0.970000
 1.50000      2.42267      0.980667
 1.60000      2.46000      0.990000
 1.70000      2.50765      0.995294
 1.80000      2.55000      1.00000
 1.90000      2.59211      1.01053
 2.00000      2.63000      1.02000
 2.20000      2.70727      1.01091
 2.40000      2.77167      1.00333
 2.50000      2.80000      1.00000
 2.60000      2.81385      0.997692
 2.80000      2.83857      0.993571
 3.00000      2.86000      0.990000
 3.50000      2.95000      1.01000
 4.00000      3.03000      1.04000
 4.50000      3.03556      1.03444
 5.00000      3.04000      1.03000
 5.50000      3.10000      1.09545
 6.00000      3.15000      1.15000
 6.50000      3.15538      1.20385
 7.00000      3.16000      1.25000
 7.50000      3.26133      1.34067
 8.00000      3.35000      1.42000
 8.20000      3.36537      1.43098
 8.40000      3.38000      1.44143
 8.60000      3.39395      1.45140
 8.80000      3.40727      1.46091
 9.00000      3.42000      1.47000
 9.20000      3.44826      1.48522
 9.40000      3.47532      1.49979
 9.60000      3.50125      1.51375
 9.80000      3.52612      1.52714
 10.0000      3.55000      1.54000
 10.2000      3.56725      1.55294
 10.4000      3.58385      1.56538
 10.6000      3.59981      1.57736
 10.8000      3.61519      1.58889
 11.0000      3.63000      1.60000
 11.2000      3.64500      1.60643
 11.4000      3.65947      1.61263
 11.6000      3.67345      1.61862
 11.8000      3.68695      1.62441
 12.0000      3.70000      1.63000
 12.5000      3.72600      1.66120
 13.0000      3.75000      1.69000
 13.5000      3.79667      1.71593
 14.0000      3.84000      1.74000
 14.5000      3.86069      1.76069
 15.0000      3.88000      1.78000
 15.5000      3.92129      1.80581
 16.0000      3.96000      1.83000
 16.5000      3.97545      1.86091
 17.0000      3.99000      1.89000
 17.5000      4.04657      1.92086
 18.0000      4.10000      1.95000
 18.5000      4.12054      1.95000
 19.0000      4.14000      1.95000
 19.5000      4.16051      1.96538
 20.0000      4.18000      1.98000
 21.0000      4.22000      2.03000
 22.0000      4.26705      2.05614
 23.0000      4.31000      2.08000
 24.0000      4.33604      2.13729
 25.0000      4.36000      2.19000
 26.0000      4.41712      2.23154
 27.0000      4.47000      2.27000
 28.0000      4.50107      2.32179
 29.0000      4.53000      2.37000
 30.0000      4.57133      2.39583
 32.0000      4.64094      2.47156
 34.0000      4.72147      2.56118
 36.0000      4.79569      2.63597
 38.0000      4.86618      2.69566
 40.0000      4.93563      2.76612
 45.0000      5.11000      2.92000
 50.0000      5.25000      3.00000
 55.0000      5.32000      3.18000
 60.0000      5.44000      3.31000
 65.0000      5.49000      3.50000
 70.0000      5.67000      3.70000
 75.0000      5.71000      3.80000
 80.0000      5.85000      4.00000
 100.000      6.33900      4.59550
