# Amorphous olivine, 40/60 Mg/Fe
# File from David Harker, UCSD
# wave(microns)  Re           Im
 0.200000      1.71800      0.279200
 0.220000      1.72727      0.321307
 0.240000      1.75466      0.325936
 0.260000      1.77830      0.313695
 0.280000      1.79727      0.297582
 0.300000      1.81532      0.279315
 0.320000      1.83198      0.257025
 0.340000      1.84335      0.231578
 0.360000      1.84900      0.206080
 0.370000      1.84933      0.194227
 0.380000      1.84964      0.182997
 0.390000      1.84829      0.172845
 0.400000      1.84700      0.163200
 0.410000      1.84508      0.154758
 0.420000      1.84325      0.146718
 0.430000      1.84049      0.139843
 0.440000      1.83786      0.133281
 0.450000      1.83535      0.127010
 0.460000      1.83267      0.122008
 0.480000      1.82763      0.112629
 0.500000      1.82300      0.104000
 0.550000      1.81111      0.0892320
 0.600000      1.80136      0.0796320
 0.650000      1.79332      0.0736560
 0.700000      1.78574      0.0705160
 0.750000      1.78003      0.0696100
 0.800000      1.77500      0.0705320
 0.900000      1.76946      0.0769970
 1.00000      1.77000      0.0869100
 1.10000      1.77786      0.0966740
 1.20000      1.79020      0.103132
 1.30000      1.80480      0.104720
 1.40000      1.81840      0.102080
 1.50000      1.82980      0.0965800
 1.60000      1.83880      0.0897360
 1.70000      1.84554      0.0825290
 1.80000      1.85016      0.0754140
 1.90000      1.85325      0.0690530
 2.00000      1.85600      0.0628590
 2.20000      1.86598      0.0517200
 2.40000      1.85911      0.0429690
 2.50000      1.85862      0.0395744
 2.60000      1.85818      0.0364410
 2.80000      1.85319      0.0319750
 3.00000      1.84647      0.0294060
 3.50000      1.83570      0.0260710
 4.00000      1.82783      0.0233140
 4.50000      1.81936      0.0217050
 5.00000      1.80457      0.0213200
 5.50000      1.78028      0.0215700
 6.00000      1.74998      0.0209500
 6.50000      1.72013      0.0203920
 7.00000      1.67057      0.0205600
 7.50000      1.61219      0.0215850
 8.00000      1.50403      0.0360230
 8.20000      1.43182      0.0771910
 8.40000      1.37496      0.145875
 8.60000      1.34151      0.223196
 8.80000      1.32474      0.305370
 9.00000      1.31611      0.388085
 9.20000      1.33126      0.472864
 9.40000      1.35861      0.559828
 9.60000      1.40421      0.637764
 9.80000      1.46853      0.706792
 10.0000      1.54312      0.758338
 10.2000      1.62313      0.791238
 10.4000      1.70293      0.809314
 10.6000      1.78218      0.814731
 10.8000      1.86478      0.812594
 11.0000      1.95082      0.784178
 11.2000      2.02299      0.737664
 11.4000      2.08579      0.676667
 11.6000      2.12349      0.597780
 11.8000      2.13829      0.512037
 12.0000      2.12277      0.440619
 12.5000      2.05121      0.304333
 13.0000      1.92804      0.220685
 13.5000      1.78607      0.223366
 14.0000      1.69097      0.270883
 14.5000      1.61167      0.321541
 15.0000      1.52652      0.381687
 15.5000      1.42763      0.492560
 16.0000      1.38119      0.652868
 16.5000      1.40928      0.819070
 17.0000      1.48397      0.948029
 17.5000      1.57590      1.03561
 18.0000      1.66381      1.08799
 18.5000      1.73855      1.12081
 19.0000      1.79813      1.14681
 19.5000      1.85536      1.17288
 20.0000      1.90302      1.20050
 21.0000      2.00291      1.24475
 22.0000      2.10111      1.28502
 23.0000      2.20258      1.31975
 24.0000      2.30518      1.34671
 25.0000      2.41435      1.36392
 26.0000      2.52445      1.36759
 27.0000      2.64837      1.35742
 28.0000      2.76687      1.31548
 29.0000      2.86326      1.25595
 30.0000      2.93739      1.18038
 32.0000      3.02527      1.04048
 34.0000      3.06616      0.924856
 36.0000      3.08496      0.832760
 38.0000      3.10137      0.760192
 40.0000      3.10013      0.700403
 45.0000      3.10079      0.604746
 50.0000      3.10145      0.543902
 55.0000      3.11452      0.488327
 60.0000      3.12514      0.448499
 65.0000      3.12625      0.413689
 70.0000      3.13000      0.384000
 75.0000      3.13000      0.359000
 80.0000      3.13000      0.336000
 100.000      3.13000      0.269000
