# Amorphous pyroxene, 40/60 Mg/Fe
# File from David Harker, UCSD
# wave(microns)  Re           Im
 0.200000      1.69600      0.126600
 0.220000      1.69308      0.164874
 0.240000      1.69766      0.173292
 0.260000      1.70713      0.173496
 0.280000      1.71684      0.164996
 0.300000      1.72398      0.154562
 0.320000      1.73098      0.144657
 0.340000      1.73932      0.129842
 0.360000      1.74178      0.111659
 0.370000      1.74034      0.103521
 0.380000      1.73897      0.0958110
 0.390000      1.73642      0.0894254
 0.400000      1.73400      0.0833590
 0.410000      1.73148      0.0786140
 0.420000      1.72908      0.0740950
 0.430000      1.72631      0.0704800
 0.440000      1.72367      0.0670293
 0.450000      1.72115      0.0637320
 0.460000      1.71853      0.0610766
 0.480000      1.71361      0.0560976
 0.500000      1.70908      0.0515170
 0.550000      1.70366      0.0408000
 0.600000      1.69871      0.0332000
 0.650000      1.69278      0.0270000
 0.700000      1.68953      0.0237000
 0.750000      1.68914      0.0209000
 0.800000      1.68847      0.0188000
 0.900000      1.68676      0.0174000
 1.00000      1.68110      0.0175000
 1.10000      1.68468      0.0161000
 1.20000      1.67740      0.0138000
 1.30000      1.67397      0.0112300
 1.40000      1.68560      0.00914000
 1.50000      1.66992      0.00824000
 1.60000      1.66423      0.00786000
 1.70000      1.66578      0.00782000
 1.80000      1.66269      0.00803000
 1.90000      1.64806      0.00781000
 2.00000      1.64911      0.00743000
 2.20000      1.64617      0.00645100
 2.40000      1.64408      0.00607100
 2.50000      1.64307      0.00594048
 2.60000      1.64214      0.00582000
 2.80000      1.63760      0.00573500
 3.00000      1.63492      0.00563800
 3.50000      1.62678      0.00550700
 4.00000      1.61489      0.00545700
 4.50000      1.60110      0.00554500
 5.00000      1.58159      0.00720700
 5.50000      1.55994      0.00869000
 6.00000      1.52585      0.00853100
 6.50000      1.48780      0.00845000
 7.00000      1.43016      0.00962000
 7.50000      1.34097      0.0130370
 8.00000      1.14962      0.0800000
 8.20000      1.08264      0.198452
 8.40000      1.04414      0.304079
 8.60000      1.01826      0.429703
 8.80000      1.03002      0.604351
 9.00000      1.17437      0.731411
 9.20000      1.27096      0.768542
 9.40000      1.35169      0.806600
 9.60000      1.44024      0.836530
 9.80000      1.52911      0.840606
 10.0000      1.59295      0.833015
 10.2000      1.65233      0.835199
 10.4000      1.72029      0.836722
 10.6000      1.79440      0.827335
 10.8000      1.87156      0.805164
 11.0000      1.94739      0.762150
 11.2000      2.00974      0.700025
 11.4000      2.05614      0.628910
 11.6000      2.08232      0.546169
 11.8000      2.09226      0.466168
 12.0000      2.08137      0.378688
 12.5000      1.96999      0.236743
 13.0000      1.84073      0.182195
 13.5000      1.73457      0.204534
 14.0000      1.67315      0.232568
 14.5000      1.61680      0.252213
 15.0000      1.54584      0.274687
 15.5000      1.46364      0.329686
 16.0000      1.39758      0.423832
 16.5000      1.36985      0.539850
 17.0000      1.37970      0.649292
 17.5000      1.41021      0.751022
 18.0000      1.45947      0.833996
 18.5000      1.51468      0.894149
 19.0000      1.55892      0.940350
 19.5000      1.58681      0.987814
 20.0000      1.60424      1.06725
 21.0000      1.80704      1.34549
 22.0000      2.22403      1.25035
 23.0000      2.33105      1.03070
 24.0000      2.33031      0.914461
 25.0000      2.32383      0.859405
 26.0000      2.32125      0.834142
 27.0000      2.33581      0.827042
 28.0000      2.35706      0.820867
 29.0000      2.38387      0.817765
 30.0000      2.41568      0.808351
 32.0000      2.48019      0.781460
 34.0000      2.53793      0.743337
 36.0000      2.57441      0.697144
 38.0000      2.61464      0.655310
 40.0000      2.63645      0.611348
 45.0000      2.66747      0.528453
 50.0000      2.68011      0.480504
 55.0000      2.70355      0.424339
 60.0000      2.71095      0.391419
 65.0000      2.71480      0.352187
 70.0000      2.71640      0.332978
 75.0000      2.72383      0.316595
 80.0000      2.73434      0.298339
 100.000      2.73961      0.240000
